Number,Lat,Lon,Landcover_classification,Corrected_Peat_thickness_m,Measured_Carbon_density_Mg_ha
1,0.85437,17.0609,Non-peat forming forest,0.1,NA
2,0.85441,17.06425,Savanna,0,NA
3,0.85438,17.06208,Non-peat forming forest,0,NA
4,0.85429,17.05993,Non-peat forming forest,0,NA
5,0.85451,17.05762,Non-peat forming forest,0,NA
6,0.85456,17.05541,Non-peat forming forest,0,NA
7,0.85473,17.05327,Non-peat forming forest,0,NA
8,0.8549,17.0509,Non-peat forming forest,0,NA
9,0.85488,17.0486,Non-peat forming forest,0,NA
10,0.85499,17.04635,Non-peat forming forest,0,NA
11,0.85496,17.04418,Non-peat forming forest,0,NA
12,0.85474,17.04201,Hardwood peat swamp forest,1.76,NA
13,0.85461,17.03969,Hardwood peat swamp forest,1.16,NA
14,0.85465,17.03743,Hardwood peat swamp forest,1.1,"1,397"
15,0.85483,17.03521,Hardwood peat swamp forest,1.29,NA
16,0.85502,17.03293,Palm peat swamp forest,1.76,NA
17,0.85495,17.03055,Palm peat swamp forest,1.64,NA
18,0.85493,17.0285,Palm peat swamp forest,1.5,"1,871"
19,0.85495,17.02628,Palm peat swamp forest,1.92,NA
20,0.85505,17.02402,Palm peat swamp forest,1.82,NA
21,0.85526,17.02171,Palm peat swamp forest,2.06,NA
22,0.85525,17.01961,Palm peat swamp forest,1.3,"1,289"
23,0.85536,17.01728,Palm peat swamp forest,1.22,NA
24,0.85514,17.01516,Palm peat swamp forest,0.77,NA
25,0.8553,17.01278,Palm peat swamp forest,2.5,NA
26,0.8555,17.0105,Palm peat swamp forest,1.5,"1,578"
27,1.90267,18.01689,Non-peat forming forest,0,NA
28,1.91111,18.01778,Non-peat forming forest,0,NA
29,1.91556,18.02133,Non-peat forming forest,0,NA
30,1.91689,18.03956,Non-peat forming forest,0,NA
31,1.91911,18.05156,Non-peat forming forest,0,NA
32,1.91242,18.01296,Non-peat forming forest,0,NA
33,1.91226,18.01075,Non-peat forming forest,0,NA
34,1.91176,18.00842,Non-peat forming forest,0,NA
35,1.91165,18.00632,Non-peat forming forest,0,NA
